                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.57566,                0.89368,                 1.1487,                0.90883,                0.90832,                0.95303,                0.84832,                0.50871,                0.44634,                 1.0622,               0.001684,               0.001684,               0.001684
                     86,                0.57293,                0.89326,                 1.1485,                0.90894,                0.90951,                0.95353,                0.84976,                0.50699,                0.44422,                 1.0603,               0.001585,               0.001585,               0.001585
                     87,                0.57118,                0.87819,                 1.1469,                0.91145,                0.90978,                0.95427,                0.85089,                 0.5053,                0.44204,                 1.0585,               0.001486,               0.001486,               0.001486
                     88,                0.56437,                0.85263,                 1.1414,                0.91157,                0.91321,                 0.9551,                0.85229,                0.50333,                0.43954,                 1.0567,               0.001387,               0.001387,               0.001387
                     89,                0.56487,                0.85717,                 1.1426,                0.91301,                0.91335,                0.95574,                0.85363,                0.50148,                0.43699,                 1.0548,               0.001288,               0.001288,               0.001288
                     90,                0.56278,                0.84709,                 1.1415,                0.91362,                0.91453,                0.95644,                0.85484,                0.49942,                0.43461,                 1.0527,               0.001189,               0.001189,               0.001189
                     91,                0.37897,                0.32452,                 1.0648,                0.91527,                0.91487,                0.95703,                0.85655,                0.49681,                0.43201,                 1.0504,                0.00109,                0.00109,                0.00109
                     92,                 0.3669,                0.30128,                 1.0535,                0.91605,                0.91683,                 0.9576,                0.85791,                0.49396,                0.42935,                 1.0478,               0.000991,               0.000991,               0.000991
                     93,                0.35766,                0.28999,                 1.0447,                0.91846,                0.91673,                0.95831,                0.85965,                0.49138,                0.42614,                 1.0453,               0.000892,               0.000892,               0.000892
                     94,                0.35006,                0.27707,                  1.038,                0.91923,                0.91745,                0.95906,                0.86122,                0.48843,                0.42274,                 1.0425,               0.000793,               0.000793,               0.000793
                     95,                0.34387,                0.26786,                 1.0317,                0.92186,                0.91739,                0.95987,                0.86298,                0.48565,                0.41944,                 1.0398,               0.000694,               0.000694,               0.000694
                     96,                0.33833,                0.25965,                 1.0285,                0.92448,                0.91791,                0.96054,                0.86435,                0.48279,                0.41617,                 1.0369,               0.000595,               0.000595,               0.000595
                     97,                 0.3329,                0.25396,                 1.0237,                0.92544,                0.91895,                 0.9612,                 0.8659,                0.48027,                0.41282,                 1.0345,               0.000496,               0.000496,               0.000496
                     98,                0.32329,                0.24421,                 1.0167,                0.92814,                0.91935,                0.96193,                0.86754,                0.47785,                0.40953,                 1.0321,               0.000397,               0.000397,               0.000397
                     99,                0.32232,                0.23894,                 1.0136,                0.92902,                0.92072,                0.96258,                 0.8689,                 0.4754,                0.40661,                 1.0297,               0.000298,               0.000298,               0.000298
                    100,                0.31679,                0.23179,                 1.0095,                0.92886,                0.92201,                0.96312,                0.87048,                0.47298,                0.40358,                 1.0274,               0.000199,               0.000199,               0.000199
